seconds,107_flow,107_density,107_speed,105_flow,105_density,105_speed,108_flow,108_density,108_speed,103_flow,103_density,103_speed
1,2.0,0.049333333,40.54054054,5.0,0.0872,57.33944954,4.0,0.054,74.07407407,3,0.188,15.95744681
2,2.1904761904761907,0.050433862142857146,42.93605388476191,4.904761904761905,0.08613333333333334,56.89108091238095,4.285714285714286,0.05472380952380952,77.84191116809524,3,0.174,17.24137931
3,2.0770975056689345,0.05147190698639456,40.39970092716554,4.913832199546485,0.08471111111111113,58.16095121596371,4.54421768707483,0.05537868480725623,81.25090663780045,5,0.156,32.05128205
4,2.164992981319512,0.0532153232734046,40.64674184553073,5.01727675197063,0.08361481481481484,60.42821425349098,4.6828636216391315,0.053571191016088975,89.21131217705755,9,0.171,52.63157895
5,2.0540412688128917,0.05309957819974702,38.60712540595637,5.015631347021046,0.0836514991181658,60.34208046934898,4.617828991006833,0.052850125205032884,88.99657023067113,7,0.208,33.65384615
6,1.9536563860688068,0.053291152752152064,36.65836691872243,5.299856933019042,0.08235135634500715,65.47956940560145,4.844702420434754,0.05227392280455356,94.76572064679769,1,0.187,5.347593583
7,1.9580700635860633,0.05359146620432806,36.54167205693934,5.366537225112466,0.0816702747883398,66.84220413268703,4.859492666107635,0.05156212063269132,96.36966562329314,1,0.17,5.882352941
8,1.8668252956254858,0.0544557710420111,34.581269652468926,5.236390822720802,0.08044453433230743,66.01337848957398,4.872874316954527,0.05175620438195881,96.07575290583665,4,0.082,48.7804878
9,1.879508600804011,0.05494146484753385,34.486109642709984,5.594829791985487,0.07819267391970672,74.81693331913837,4.789743429625524,0.05132228015510559,94.99670622051887,3,0.124,24.19354839
10,1.7957458769179149,0.054788309433483014,32.987432533880465,5.538179335605917,0.07741241926068704,74.49423218683948,5.000244055375474,0.05054872966414316,101.3814996280885,2,0.124,16.12903226
11,1.9104367457828753,0.05443810005886558,35.43583440398709,5.105971779833925,0.07579218885490732,68.97633306333096,4.714506526292096,0.049925041124700954,96.05512303969913,5,0.136,36.76470588
12,1.8237284842797443,0.054375212243735524,33.83194934836927,4.810164943659266,0.0742119803925352,65.62466170301373,4.83693447616904,0.049932180065205625,98.33558751210873,3,0.166,18.07228916
13,1.8405162476816734,0.05431831374433214,34.151771566619814,5.1139587585488595,0.07438226797419852,69.39975657891718,4.9477026212957975,0.04944340101137652,101.7253955014317,6,0.184,32.60869565
14,1.855705176473895,0.054139849959157646,34.53118315265602,5.007867448210872,0.07449824245284628,67.82930861044888,4.762207133553341,0.048582124724578755,99.10939838129536,4,0.204,19.60784314
15,1.8694475406192383,0.05385139862971407,34.96920711716497,5.102356262666979,0.07429840983828949,69.26203428373947,4.403901692262546,0.04799335094128554,91.9165895506958,5,0.199,25.12562814
16,1.7866430129412159,0.05430999561736035,33.26218306314926,4.997369951936792,0.07259379937750002,69.42012490624047,4.651149150142304,0.048108269899258344,96.71276414586762,8,0.183,43.71584699
17,1.8069627259944334,0.05358205955856413,34.17598875808743,4.807144242228525,0.07215629467488098,67.01036511136043,4.6843730406049415,0.048936053718376595,95.88565984721357,9,0.199,45.22613065
18,1.8253472282806777,0.053854667600605644,34.295710863983864,4.82551145725438,0.07297950470584469,66.52187206456419,4.904908941499709,0.04846595336424549,101.905207395098,4,0.216,18.51851852
19,1.7467427303491845,0.05300078392435749,33.151093421699684,5.223081794658724,0.07223859949576424,73.33281851555807,4.723489042309261,0.04678348161526973,101.47638739556486,3,0.243,12.34567901
20,1.6756243750778337,0.05324409555060916,31.708132143442572,5.106597814215036,0.07282539954378668,71.20782705312398,4.940299609708379,0.04872791193762499,101.73260447217774,6,0.24,25.0
21,1.6112791964989923,0.05329492245055114,30.459266350733756,5.286921831908842,0.07293726625390225,73.43513824711216,4.945985361164724,0.04919192032451785,100.9279356738751,5,0.192,26.04166667
22,1.5530621301657548,0.05274831612192722,29.561054067806733,5.164357847917524,0.0720860980392449,72.39369650929196,5.0463677077204645,0.04945935648408758,102.30476231445842,7,0.183,38.25136612
23,1.59562764157854,0.0529733442055532,30.20193678325371,5.053466624306331,0.07120170774979301,71.56517946269273,4.9467136403185155,0.04916798919988876,100.77163224165285,7,0.125,56.0
24,1.538901199523441,0.051526147424071946,29.846570255324785,5.334088850562871,0.06929678320219368,79.6304004662458,5.142264722192943,0.04833294260942316,107.67598409482878,3,0.154,19.48051948
25,1.4875772757593038,0.05110566776463652,29.025603096722424,5.207032769556884,0.06955423242103237,77.3375580942224,5.033477605793616,0.04689170997995429,108.89559777151175,8,0.155,51.61290323
26,1.441141344734608,0.05110618616800447,28.124613981796482,5.473029648646705,0.07077763885712453,79.21849338429645,4.9350511671466055,0.045587737600911026,109.99905776470109,4,0.138,28.98550725
27,1.5896040738075023,0.05161459167581357,30.507946583530153,5.427979205918447,0.0729511970612079,76.76138005436346,4.845998675037405,0.045284143543681404,108.50768299092005,6,0.149,40.26845638
28,2.0096417810639307,0.051651297230497994,38.591438851765375,5.577695472021452,0.07522251162680714,76.33782477204313,4.5749511821767,0.047066606063330796,101.14980842035624,4,0.147,27.21088435
29,2.1991997066768896,0.05236175568473628,41.36074685921629,5.522676855638457,0.07624893909092074,74.60465430613426,4.424955831493205,0.046126929295394525,99.19698488413184,10,0.189,52.91005291
30,2.0849902108029,0.052369630762380444,39.23760874024331,5.8538504884347935,0.07675856393940449,78.00365081031195,4.289245752303375,0.043676745552976,103.75525522850023,5,0.174,28.73563218
31,1.9816578097740525,0.05203813154691564,37.44874556974395,6.153483775250527,0.0780958435642231,80.01463099313938,4.356936633036387,0.0435932459765021,104.99974805435735,2,0.176,11.36363636
32,1.8881665897955715,0.05482815073292367,35.05315856024452,6.234104368083811,0.07911528703429709,79.90169745379278,4.227704572747207,0.043555793978739994,101.6135286625138,6,0.186,32.25806452
33,1.8988173907674217,0.05532070780597856,34.889365681173615,6.0213325235044,0.0778281168405545,78.09921291152679,4.110780327723663,0.04359809931409809,98.42955623560772,2,0.185,10.81081081
34,1.908453829741953,0.05398857687207584,36.17486388010946,5.9240627593611235,0.0804349628557398,75.18771807328615,4.10022982032141,0.04470304223656494,95.95662403412128,4,0.213,18.77934272
35,1.8219344173855765,0.05519601402711624,34.1582101772419,6.217009163231492,0.08130782353614553,77.59330955202081,4.090684123147942,0.04459799059498733,95.55533786610972,11,0.186,59.13978495
36,1.838893044301236,0.05637311326262898,33.724596175599814,6.101103528638017,0.0820975546279412,75.51809639754264,4.17728563522909,0.04408389625260758,98.60254572648023,3,0.216,13.88888889
37,1.8542365638915943,0.05688784323761669,33.59597756078078,6.091474621148682,0.08208826371099442,75.29453785587191,4.2556393842548905,0.043999715657121144,100.23475477157734,4,0.215,18.60465116
38,2.0585949863781092,0.05731122321498652,36.607540774039755,5.892286561991664,0.0836036671670902,72.01089868197936,4.13605468099252,0.04266640940406199,100.21239717428426,3,0.176,17.04545455
39,2.053014511484956,0.057651953289749716,36.24936692222645,6.283497365611506,0.08615569886546255,73.77935691607657,3.83738280661228,0.043288656127484657,92.6040929910191,6,0.189,31.74603175
40,1.9527274151530554,0.05757928050024974,34.471153405823934,5.780307140315172,0.08739801325922802,67.71281293930737,3.8528701583634914,0.043432593639152785,92.28805692425537,5,0.175,28.57142857
41,1.9572295660908596,0.05730188873832119,34.67250697193594,5.70599217457087,0.08688391675834917,67.0711745412781,3.7716444289955398,0.04421044186399537,89.03581672956439,4,0.128,31.25
42,2.151779131225063,0.05692393104895727,38.51322059365633,6.114945300802216,0.0865330675432683,72.13033008020399,3.698154483376917,0.044685637876948195,86.36341606579634,7,0.16,43.75
