,small_cars,large_cars
0,0,0
1,2,1
2,4,1
3,3,0
4,4,0
5,4,0
6,4,0
7,7,0
8,6,0
9,6,0
10,6,0
11,5,0
12,4,0
13,4,1
14,4,2
15,5,1
16,2,1
17,4,0
18,4,1
19,4,1
20,4,2
21,4,1
22,3,1
23,4,1
24,3,1
25,3,1
26,3,0
27,2,0
28,2,1
29,2,1
30,3,1
31,3,1
32,4,2
33,2,1
34,2,1
35,4,2
36,4,2
37,4,3
38,4,1
39,5,0
40,5,1
41,6,3
42,6,0
43,6,0
44,6,0
45,4,1
46,4,0
47,6,0
48,7,0
49,6,1
50,8,1
51,8,1
52,6,1
53,7,0
54,7,0
55,8,0
56,7,0
57,7,0
58,7,0
59,6,0
60,7,1
61,6,0
62,7,0
63,6,0
64,7,0
65,5,0
66,6,0
67,9,0
68,5,0
69,4,0
70,7,0
71,7,0
72,6,0
73,6,0
74,6,0
75,6,0
76,6,0
77,4,0
78,4,0
79,5,0
80,5,0
81,6,0
82,5,0
83,6,0
84,6,0
85,5,0
86,6,0
87,6,0
88,5,1
89,5,0
90,5,0
91,5,0
92,5,0
93,6,0
94,6,0
95,6,0
96,5,1
97,4,1
98,5,1
99,4,0
100,5,0
101,4,1
102,6,0
103,5,0
104,6,0
105,5,0
106,5,0
107,4,0
108,5,0
109,4,0
110,5,0
111,5,0
112,6,0
113,5,0
114,6,0
115,6,1
116,4,1
117,4,0
118,4,0
119,4,1
120,4,0
121,3,0
122,3,0
123,3,1
124,1,1
125,1,2
126,2,2
127,0,2
128,0,2
129,0,2
130,0,2
131,0,2
132,0,2
133,1,2
134,1,1
135,2,0
136,2,2
137,2,1
138,2,1
139,2,2
140,3,1
141,3,1
142,4,1
143,3,1
144,3,0
145,4,0
146,4,0
147,4,0
148,4,1
149,4,1
150,3,1
151,4,1
152,3,2
153,4,1
154,5,1
155,4,0
156,4,0
157,5,0
158,5,0
159,6,1
160,4,1
161,4,0
162,5,0
163,5,0
164,5,0
165,5,0
166,5,1
167,5,1
168,3,1
169,4,1
170,3,1
171,3,1
172,2,1
173,2,3
174,1,2
175,1,4
176,1,3
177,0,1
178,0,1
179,0,1
180,0,1
181,1,1
182,1,1
183,2,1
184,1,1
185,2,2
186,3,2
187,3,1
188,4,1
189,4,1
190,3,0
191,3,0
192,2,0
193,3,0
194,4,0
195,3,0
196,3,0
197,3,0
198,3,0
199,4,0
200,4,1
201,3,1
202,3,1
203,3,3
204,4,0
205,2,1
206,0,2
207,1,1
208,0,1
209,0,0
210,0,1
211,1,1
212,1,1
213,2,1
214,2,1
215,2,0
216,3,0
217,3,0
218,3,0
219,3,0
220,4,0
221,4,0
222,3,0
223,4,0
224,5,0
225,5,0
226,5,0
227,6,1
228,5,0
229,5,0
230,5,0
231,3,0
232,4,0
233,4,0
234,4,1
235,3,0
236,4,0
237,5,0
238,4,0
239,4,0
240,6,0
241,4,1
242,5,0
243,6,0
244,5,0
245,4,0
246,4,0
247,5,0
248,6,0
249,5,1
250,6,0
251,4,0
252,4,0
253,5,0
254,5,0
255,3,0
256,3,1
257,3,1
258,0,1
259,1,1
260,1,1
261,3,1
262,2,2
263,2,2
264,2,0
265,2,0
266,2,0
267,2,0
268,3,1
269,3,1
270,3,1
271,3,1
272,2,0
273,2,1
274,1,1
275,1,1
276,1,1
277,0,1
278,2,1
279,2,2
280,1,1
281,2,1
282,1,1
283,3,1
284,3,1
285,3,1
286,3,1
287,3,1
288,4,1
289,4,1
290,5,1
291,5,0
292,4,1
293,4,0
294,4,0
295,3,0
296,5,0
297,3,0
298,3,0
299,3,0
300,3,1
301,2,0
302,1,0
303,1,0
304,1,0
305,1,0
306,1,0
307,1,0
308,0,0
309,0,0
310,0,1
311,0,1
312,0,0
313,0,1
314,0,1
315,0,0
316,0,1
317,0,1
318,0,0
319,0,1
320,0,1
321,0,1
322,0,1
323,0,1
324,0,1
325,1,1
326,1,0
327,3,0
328,3,0
329,3,0
330,3,0
331,3,0
332,4,0
333,5,0
334,6,0
335,4,0
336,4,0
337,6,0
338,6,0
339,5,0
340,5,0
341,4,0
342,4,0
343,4,0
344,4,0
345,2,0
346,2,1
347,2,1
348,0,1
349,1,1
350,1,1
351,0,2
352,0,1
353,0,2
354,0,1
355,0,1
356,0,1
357,0,1
358,0,1
359,0,1
360,0,1
361,0,1
362,2,1
363,2,1
364,3,0
365,2,2
366,2,1
367,4,0
368,3,1
369,4,1
370,4,0
371,4,0
372,4,0
373,5,0
374,5,0
375,6,0
376,6,0
377,6,0
378,6,0
379,5,0
380,4,0
381,4,0
382,6,0
383,5,0
384,5,0
385,5,0
386,5,0
387,5,0
388,4,2
389,4,0
390,4,0
391,4,0
