seconds,small_cars,large_cars,car_flow
122,0,0,0
123,1,0,1
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,1,0,1
131,0,0,0
132,1,0,1
133,1,0,1
134,1,0,1
135,0,0,0
136,2,0,2
137,1,0,1
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,2,0,2
145,1,0,1
146,0,1,2
147,0,0,0
148,1,1,3
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,1,0,1
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,2,0,2
161,3,0,3
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,1,0,1
169,1,0,1
170,0,0,0
171,0,0,0
172,1,0,1
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,3,0,3
178,1,1,3
179,1,1,3
180,1,0,1
181,0,0,0
182,1,0,1
183,0,0,0
184,0,0,0
185,1,0,1
186,1,0,1
187,1,0,1
188,0,0,0
189,1,0,1
190,0,0,0
191,2,0,2
192,0,0,0
193,1,0,1
194,1,0,1
195,0,0,0
196,1,0,1
197,0,1,2
198,1,0,1
199,0,0,0
200,1,0,1
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,1,1,3
210,1,0,1
211,0,0,0
212,0,0,0
213,1,0,1
214,0,0,0
215,0,0,0
216,1,0,1
217,1,0,1
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,1,2
223,1,0,1
224,2,0,2
225,1,0,1
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,1,0,1
231,0,0,0
232,1,1,3
233,1,0,1
234,0,0,0
235,1,0,1
236,0,1,2
237,1,0,1
238,1,0,1
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,1,0,1
245,0,1,2
246,1,0,1
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,1,2
256,2,0,2
257,2,0,2
258,0,0,0
259,0,0,0
260,0,0,0
261,0,0,0
262,0,0,0
263,0,0,0
264,2,0,2
265,2,0,2
266,1,0,1
267,0,1,2
268,0,0,0
269,0,0,0
270,0,0,0
271,1,0,1
272,1,0,1
273,1,0,1
274,0,0,0
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,0,0,0
281,0,0,0
282,1,0,1
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,1,0,1
289,1,0,1
290,0,0,0
291,0,0,0
292,0,0,0
293,1,0,1
294,2,0,2
295,0,0,0
296,2,0,2
297,1,0,1
298,0,2,4
299,2,0,2
300,3,0,3
301,0,1,2
302,2,2,6
303,0,0,0
304,1,0,1
305,3,0,3
306,0,0,0
307,1,0,1
308,1,0,1
309,0,0,0
310,1,0,1
311,2,0,2
312,1,0,1
313,1,0,1
314,0,1,2
315,0,1,2
316,2,0,2
317,2,0,2
318,0,0,0
319,1,0,1
320,1,0,1
321,1,0,1
322,2,0,2
323,0,0,0
324,0,0,0
325,1,0,1
326,0,1,2
327,0,1,2
328,0,0,0
329,0,0,0
330,1,0,1
331,1,1,3
332,0,0,0
333,0,0,0
334,1,0,1
335,0,0,0
336,1,0,1
337,1,0,1
338,0,0,0
339,1,1,3
340,1,0,1
341,2,1,4
342,0,0,0
343,0,0,0
344,0,0,0
345,2,0,2
346,0,0,0
347,0,0,0
348,0,0,0
349,0,0,0
350,1,0,1
351,0,0,0
352,0,0,0
353,0,1,2
354,0,0,0
355,1,1,3
356,0,1,2
357,1,0,1
358,1,0,1
359,1,0,1
360,0,0,0
361,0,0,0
362,1,0,1
363,0,0,0
364,1,0,1
365,1,0,1
366,0,0,0
367,1,0,1
368,1,0,1
369,0,0,0
370,0,0,0
371,0,1,2
372,0,0,0
373,0,0,0
374,0,0,0
375,0,0,0
376,0,0,0
377,1,0,1
378,0,0,0
379,3,1,5
380,1,1,3
381,0,0,0
382,0,0,0
383,1,0,1
384,0,0,0
385,1,0,1
386,0,0,0
387,0,0,0
388,1,0,1
389,0,0,0
390,0,0,0
391,1,0,1
392,1,0,1
393,0,0,0
394,0,0,0
395,0,0,0
396,0,0,0
397,1,0,1
398,0,0,0
399,1,0,1
400,0,0,0
401,0,0,0
402,0,0,0
403,0,0,0
404,0,1,2
405,0,0,0
406,2,0,2
407,2,0,2
408,1,0,1
409,0,0,0
410,1,0,1
411,2,0,2
412,1,0,1
413,1,0,1
414,1,0,1
415,1,0,1
416,1,0,1
417,0,0,0
418,1,0,1
419,2,0,2
420,1,0,1
421,1,0,1
422,0,0,0
423,1,1,3
424,0,0,0
425,1,0,1
426,1,1,3
427,2,0,2
428,0,0,0
429,1,0,1
430,0,0,0
431,1,0,1
