seconds,car_flow,car_density,car_speed,avg_travel_time
179,4,0.178,22.471910112359552,6.4079999999999995
180,3,0.1669999999999999,17.964071856287436,8.015999999999995
181,3,0.109,27.52293577981652,5.231999999999998
182,6,0.092,65.21739130434783,2.2079999999999997
183,8,0.196,40.81632653061224,3.5280000000000005
184,8,0.176,45.45454545454546,3.1679999999999997
185,10,0.1639999999999999,60.9756097560976,2.361599999999999
186,4,0.21,19.047619047619047,7.56
187,7,0.192,36.458333333333336,3.9497142857142857
188,14,0.189,74.07407407407408,1.944
189,5,0.184,27.17391304347826,5.2992
190,6,0.215,27.906976744186046,5.16
191,4,0.169,23.66863905325444,6.084
192,4,0.195,20.51282051282051,7.020000000000001
193,3,0.165,18.18181818181818,7.920000000000001
194,8,0.2219999999999999,36.03603603603605,3.9959999999999987
195,9,0.172,52.32558139534884,2.752
196,3,0.179,16.75977653631285,8.591999999999999
197,4,0.177,22.598870056497177,6.372
198,3,0.184,16.304347826086957,8.831999999999999
199,2,0.1679999999999999,11.904761904761912,12.095999999999993
200,16,0.193,82.90155440414507,1.737
201,1,0.205,4.878048780487805,29.52
202,7,0.157,44.5859872611465,3.2297142857142855
203,4,0.21,19.047619047619047,7.56
204,3,0.154,19.48051948051948,7.392
205,6,0.177,33.898305084745765,4.247999999999999
206,3,0.179,16.75977653631285,8.591999999999999
207,4,0.2009999999999999,19.90049751243782,7.235999999999997
208,8,0.175,45.71428571428572,3.15
209,5,0.209,23.92344497607656,6.019199999999999
210,5,0.194,25.77319587628866,5.5872
211,2,0.22,9.090909090909092,15.839999999999998
212,2,0.219,9.1324200913242,15.768000000000004
213,2,0.175,11.428571428571429,12.600000000000001
214,2,0.216,9.25925925925926,15.552
215,4,0.165,24.24242424242424,5.940000000000001
216,4,0.185,21.62162162162162,6.66
217,8,0.189,42.32804232804233,3.4019999999999997
218,5,0.16,31.25,4.6080000000000005
219,1,0.1089999999999999,9.174311926605514,15.695999999999986
220,4,0.154,25.97402597402597,5.544000000000001
221,6,0.182,32.96703296703297,4.367999999999999
222,2,0.16,12.5,11.52
223,5,0.125,40.0,3.6
224,5,0.155,32.25806451612903,4.464
225,5,0.1659999999999999,30.120481927710863,4.7807999999999975
226,6,0.153,39.21568627450981,3.672
227,3,0.077,38.96103896103896,3.696
228,5,0.126,39.68253968253968,3.6288000000000005
229,5,0.1359999999999999,36.76470588235297,3.9167999999999967
230,2,0.15,13.333333333333334,10.8
231,5,0.159,31.446540880503143,4.5792
232,4,0.14,28.57142857142857,5.04
233,2,0.16,12.5,11.52
234,8,0.161,49.68944099378882,2.898
235,1,0.159,6.289308176100628,22.896000000000004
236,2,0.132,15.15151515151515,9.504000000000001
237,2,0.1089999999999999,18.348623853211027,7.847999999999993
238,5,0.151,33.11258278145696,4.3488
239,2,0.132,15.15151515151515,9.504000000000001
240,4,0.185,21.62162162162162,6.66
241,5,0.187,26.737967914438503,5.3856
242,4,0.19,21.05263157894737,6.84
243,3,0.187,16.0427807486631,8.976
244,3,0.206,14.563106796116504,9.888
245,7,0.142,49.29577464788733,2.9211428571428573
246,2,0.152,13.157894736842106,10.944
247,5,0.1689999999999999,29.585798816568065,4.867199999999997
248,2,0.2029999999999999,9.852216748768477,14.615999999999994
249,12,0.183,65.57377049180327,2.196
250,5,0.12,41.66666666666667,3.456
251,2,0.136,14.705882352941176,9.792000000000002
252,2,0.138,14.492753623188404,9.936000000000002
253,4,0.132,30.3030303030303,4.752000000000001
254,5,0.1589999999999999,31.446540880503168,4.579199999999997
255,3,0.1619999999999999,18.51851851851853,7.775999999999995
256,5,0.162,30.8641975308642,4.6655999999999995
257,10,0.2,50.0,2.88
258,4,0.177,22.598870056497177,6.372
259,12,0.193,62.17616580310881,2.3160000000000003
260,6,0.187,32.0855614973262,4.488
261,5,0.193,25.906735751295336,5.5584
262,4,0.19,21.05263157894737,6.84
263,6,0.1629999999999999,36.80981595092027,3.9119999999999977
264,5,0.176,28.40909090909091,5.0687999999999995
265,6,0.154,38.96103896103896,3.696
266,7,0.142,49.29577464788733,2.9211428571428573
267,6,0.177,33.898305084745765,4.247999999999999
268,2,0.145,13.793103448275865,10.439999999999998
269,3,0.142,21.126760563380284,6.815999999999999
270,3,0.1319999999999999,22.727272727272744,6.335999999999996
271,4,0.154,25.97402597402597,5.544000000000001
272,6,0.175,34.285714285714285,4.2
273,4,0.122,32.78688524590164,4.392
274,2,0.145,13.793103448275865,10.439999999999998
275,5,0.151,33.11258278145696,4.3488
276,4,0.174,22.98850574712644,6.264
277,3,0.1,30.0,4.8
278,6,0.084,71.42857142857143,2.016
279,6,0.1529999999999999,39.21568627450983,3.6719999999999975
280,3,0.188,15.95744680851064,9.023999999999997
281,4,0.174,22.98850574712644,6.264
282,10,0.179,55.865921787709496,2.5776
