seconds,small_cars,large_cars,car_flow,car_density
155,8.0,0.28,8.56,0.21400000000000002
156,6.16,0.24,6.640000000000001,0.166
157,5.4,0.04,5.48,0.137
158,6.0,0.36,6.72,0.16799999999999998
159,6.16,0.92,8.0,0.2
160,5.68,1.04,7.76,0.194
161,5.76,0.84,7.4399999999999995,0.186
162,6.68,0.04,6.76,0.16899999999999998
163,6.56,0.24,7.039999999999999,0.176
164,6.44,0.2,6.840000000000001,0.171
165,6.44,0.28,7.0,0.175
166,6.28,0.0,6.28,0.157
167,6.36,0.88,8.120000000000001,0.203
168,6.92,0.8,8.52,0.213
169,5.84,0.44,6.72,0.16799999999999998
170,5.0,0.2,5.4,0.135
171,5.8,0.52,6.84,0.17099999999999999
172,5.64,0.32,6.279999999999999,0.15699999999999997
173,6.72,0.16,7.04,0.176
174,6.24,0.24,6.720000000000001,0.168
175,6.12,0.56,7.24,0.181
176,6.2,0.68,7.5600000000000005,0.189
177,7.04,0.0,7.04,0.176
178,7.68,0.04,7.76,0.194
179,6.96,0.08,7.12,0.178
180,6.52,0.08,6.68,0.16699999999999998
181,4.28,0.04,4.36,0.10900000000000001
182,2.8,0.44,3.6799999999999997,0.092
183,5.68,1.08,7.84,0.196
184,5.36,0.84,7.04,0.176
185,6.56,0.0,6.56,0.16399999999999998
186,6.0,1.2,8.4,0.21000000000000002
187,7.12,0.28,7.68,0.192
188,6.44,0.56,7.5600000000000005,0.189
189,5.76,0.8,7.359999999999999,0.184
190,5.24,1.68,8.6,0.215
191,6.36,0.2,6.760000000000001,0.169
192,7.72,0.04,7.8,0.195
193,6.2,0.2,6.6000000000000005,0.165
194,5.76,1.56,8.879999999999999,0.22199999999999998
195,6.88,0.0,6.88,0.172
196,7.16,0.0,7.16,0.179
197,7.0,0.04,7.08,0.177
198,7.2,0.08,7.36,0.184
199,6.56,0.08,6.72,0.16799999999999998
200,7.32,0.2,7.720000000000001,0.193
201,7.16,0.52,8.2,0.205
202,5.96,0.16,6.28,0.157
203,6.64,0.88,8.4,0.21000000000000002
204,5.68,0.24,6.16,0.154
205,6.2,0.44,7.08,0.177
206,6.52,0.32,7.159999999999999,0.179
207,7.8,0.12,8.04,0.20099999999999998
208,6.76,0.12,7.0,0.175
209,7.72,0.32,8.36,0.209
210,6.88,0.44,7.76,0.194
211,6.56,1.12,8.8,0.22000000000000003
212,7.32,0.72,8.76,0.219
